Feature,Importance
Month,0.2035023341900037
Hour,0.18742834805457256
TotalPrice_Fixed,0.16577529419623332
Price,0.15783176218887054
DayOfWeek_Num,0.1517601696976174
Quantity_ABS,0.13370209167270244
